run_id,dataset,slot_timestamp,slot_start_iso,pre_status,pre_bucket,pre_key,pre_size_bytes,pre_line_count,pre_reason,slot_since_id,slot_until_id,post_status,post_bucket,post_key,post_size_bytes,post_line_count,post_note_count
jp_202508010000_202510312350,jp,2025-08-01_00-40,2025-08-01T00:40:00+09:00,too_many_lines,miyazawa1s3,misskey/2025/08/01/00/2025-08-01_00-40.jsonl,36243464,10000,too_many_lines,,,pending,,,,,
jp_202508010000_202510312350,jp,2025-08-01_01-30,2025-08-01T01:30:00+09:00,too_many_lines,miyazawa1s3,misskey/2025/08/01/01/2025-08-01_01-30.jsonl,31565472,10000,too_many_lines,,,pending,,,,,
jp_202508010000_202510312350,jp,2025-08-01_02-40,2025-08-01T02:40:00+09:00,too_many_lines,miyazawa1s3,misskey/2025/08/01/02/2025-08-01_02-40.jsonl,6461562,10000,too_many_lines,,,pending,,,,,
jp_202508010000_202510312350,jp,2025-08-01_02-50,2025-08-01T02:50:00+09:00,too_many_lines,miyazawa1s3,misskey/2025/08/01/02/2025-08-01_02-50.jsonl,27687402,10000,too_many_lines,,,pending,,,,,
jp_202508010000_202510312350,jp,2025-08-01_03-10,2025-08-01T03:10:00+09:00,too_many_lines,miyazawa1s3,misskey/2025/08/01/03/2025-08-01_03-10.jsonl,3695288,10000,too_many_lines,,,pending,,,,,
jp_202508010000_202510312350,jp,2025-08-01_03-20,2025-08-01T03:20:00+09:00,too_many_lines,miyazawa1s3,misskey/2025/08/01/03/2025-08-01_03-20.jsonl,5791676,10000,too_many_lines,,,pending,,,,,
jp_202508010000_202510312350,jp,2025-08-01_04-00,2025-08-01T04:00:00+09:00,too_many_lines,miyazawa1s3,misskey/2025/08/01/04/2025-08-01_04-00.jsonl,15794772,10000,too_many_lines,,,pending,,,,,
jp_202508010000_202510312350,jp,2025-08-01_04-10,2025-08-01T04:10:00+09:00,too_many_lines,miyazawa1s3,misskey/2025/08/01/04/2025-08-01_04-10.jsonl,19411118,10000,too_many_lines,,,pending,,,,,
jp_202508010000_202510312350,jp,2025-08-01_13-10,2025-08-01T13:10:00+09:00,too_many_lines,miyazawa1s3,misskey/2025/08/01/13/2025-08-01_13-10.jsonl,35481302,10000,too_many_lines,,,pending,,,,,
jp_202508010000_202510312350,jp,2025-08-01_14-50,2025-08-01T14:50:00+09:00,too_many_lines,miyazawa1s3,misskey/2025/08/01/14/2025-08-01_14-50.jsonl,8466972,10000,too_many_lines,,,pending,,,,,
